id,name,age,salary,department,joining_date,employee_status
1,Grace,23,50000,Finance,2015-02-04,terminated
2,David,45,50000,Finance,2019-10-29,active
3,Hannah,,invalid,Sales,2016-10-17,active
4,Eve,23,50000,Sales,2018-12-23,terminated
5,Grace,,80000,Finance,2016-10-17,terminated
6,Jack,60,50000,Sales,2021-08-02,terminated
7,Charlie,,invalid,Marketing,2015-01-24,terminated
8,Grace,60,70000,Engineering,2016-03-09,terminated
9,Hannah,45,60000,HR,2021-03-12,terminated
10,Eve,,500000,HR,2015-12-30,terminated
11,David,40,50000,HR,2021-11-19,terminated
12,Hannah,25,1000000,HR,2017-04-04,terminated
13,Hannah,45,1000000,Marketing,2021-04-02,terminated
14,Charlie,25,500000,Marketing,2018-02-20,active
15,Frank,40,60000,Engineering,2016-07-21,terminated
16,Eve,32,,Finance,2016-08-20,terminated
17,Bob,32,70000,Sales,2021-11-17,active
18,Hannah,23,500000,Engineering,2016-08-26,active
19,Frank,32,50000,HR,2018-09-18,active
20,Bob,45,,Sales,2018-06-25,active
21,Eve,32,,Engineering,2018-09-22,terminated
22,Alice,45,60000,HR,2020-10-21,terminated
23,Jack,45,500000,Engineering,2022-11-17,active
24,Frank,25,500000,HR,2017-01-13,terminated
25,Ian,32,80000,HR,2019-09-26,active
26,Alice,,80000,Marketing,2015-08-22,active
27,Jack,60,80000,HR,2018-04-26,terminated
28,Charlie,32,500000,Engineering,2018-07-24,terminated
29,Grace,32,500000,Sales,2021-10-02,active
30,David,32,80000,Marketing,2020-06-23,terminated
31,Ian,23,70000,Sales,2016-02-27,terminated
32,Charlie,,1000000,Finance,2020-09-03,terminated
33,Eve,,1000000,Sales,2018-12-22,active
34,Charlie,45,1000000,Finance,2018-04-25,terminated
35,Grace,,50000,Finance,2019-11-02,active
36,Eve,45,50000,Marketing,2021-07-30,terminated
37,Ian,60,70000,Sales,2020-11-29,terminated
38,Grace,25,60000,HR,2020-03-17,active
39,Bob,45,1000000,Marketing,2016-10-02,active
40,David,32,1000000,Marketing,2018-12-12,active
41,Ian,40,50000,HR,2016-07-30,active
42,Bob,40,500000,Sales,2015-01-26,terminated
43,Jack,23,invalid,Marketing,2016-06-13,terminated
44,Ian,32,500000,Finance,2017-07-20,terminated
45,Jack,45,50000,HR,2019-11-25,active
46,Eve,32,70000,Engineering,2017-07-28,terminated
47,Bob,23,60000,Marketing,2019-04-25,terminated
48,David,,50000,Finance,2022-03-22,terminated
49,Grace,45,70000,Sales,2020-02-09,active
50,Hannah,60,,Sales,2022-09-09,active
51,Charlie,32,80000,HR,2018-08-03,active
52,Alice,,,Finance,2019-01-05,active
53,David,23,,HR,2021-01-20,terminated
54,Bob,,1000000,Marketing,2015-12-01,active
55,Hannah,45,60000,HR,2021-09-27,terminated
56,David,23,50000,Engineering,2019-05-03,active
57,Bob,23,invalid,HR,2016-08-12,terminated
58,Frank,23,70000,HR,2022-04-24,active
59,Frank,25,80000,Marketing,2018-09-28,active
60,Jack,23,50000,Finance,2021-05-19,terminated
61,David,25,60000,Engineering,2021-08-08,active
62,Frank,,50000,HR,2021-04-20,active
63,Bob,60,70000,Marketing,2019-01-10,terminated
64,Jack,25,80000,Marketing,2017-07-10,active
65,Bob,,,Marketing,2015-06-20,active
66,Jack,25,50000,Finance,2015-07-22,terminated
67,David,,invalid,HR,2021-12-08,active
68,Hannah,,60000,Sales,2019-07-23,terminated
69,Grace,60,60000,Engineering,2015-10-07,active
