id,name,age,salary,department,joining_date,employee_status
1,Grace,23,50000.0,Finance,2015-02-04,0
2,David,45,50000.0,Finance,2019-10-29,1
3,Hannah,37,80000.0,Sales,2016-10-17,1
4,Eve,23,50000.0,Sales,2018-12-23,0
5,Grace,37,80000.0,Finance,2016-10-17,0
6,Jack,60,50000.0,Sales,2021-08-02,0
7,Charlie,37,80000.0,Marketing,2015-01-24,0
8,Grace,60,70000.0,Engineering,2016-03-09,0
9,Hannah,45,60000.0,HR,2021-03-12,0
10,Eve,37,500000.0,HR,2015-12-30,0
11,David,40,50000.0,HR,2021-11-19,0
12,Hannah,25,1000000.0,HR,2017-04-04,0
13,Hannah,45,1000000.0,Marketing,2021-04-02,0
14,Charlie,25,500000.0,Marketing,2018-02-20,1
15,Frank,40,60000.0,Engineering,2016-07-21,0
16,Eve,32,80000.0,Finance,2016-08-20,0
17,Bob,32,70000.0,Sales,2021-11-17,1
18,Hannah,23,500000.0,Engineering,2016-08-26,1
19,Frank,32,50000.0,HR,2018-09-18,1
20,Bob,45,80000.0,Sales,2018-06-25,1
21,Eve,32,80000.0,Engineering,2018-09-22,0
22,Alice,45,60000.0,HR,2020-10-21,0
23,Jack,45,500000.0,Engineering,2022-11-17,1
24,Frank,25,500000.0,HR,2017-01-13,0
25,Ian,32,80000.0,HR,2019-09-26,1
26,Alice,37,80000.0,Marketing,2015-08-22,1
27,Jack,60,80000.0,HR,2018-04-26,0
28,Charlie,32,500000.0,Engineering,2018-07-24,0
29,Grace,32,500000.0,Sales,2021-10-02,1
30,David,32,80000.0,Marketing,2020-06-23,0
31,Ian,23,70000.0,Sales,2016-02-27,0
32,Charlie,37,1000000.0,Finance,2020-09-03,0
33,Eve,37,1000000.0,Sales,2018-12-22,1
34,Charlie,45,1000000.0,Finance,2018-04-25,0
35,Grace,37,50000.0,Finance,2019-11-02,1
36,Eve,45,50000.0,Marketing,2021-07-30,0
37,Ian,60,70000.0,Sales,2020-11-29,0
38,Grace,25,60000.0,HR,2020-03-17,1
39,Bob,45,1000000.0,Marketing,2016-10-02,1
40,David,32,1000000.0,Marketing,2018-12-12,1
41,Ian,40,50000.0,HR,2016-07-30,1
42,Bob,40,500000.0,Sales,2015-01-26,0
43,Jack,23,80000.0,Marketing,2016-06-13,0
44,Ian,32,500000.0,Finance,2017-07-20,0
45,Jack,45,50000.0,HR,2019-11-25,1
46,Eve,32,70000.0,Engineering,2017-07-28,0
47,Bob,23,60000.0,Marketing,2019-04-25,0
48,David,37,50000.0,Finance,2022-03-22,0
49,Grace,45,70000.0,Sales,2020-02-09,1
50,Hannah,60,80000.0,Sales,2022-09-09,1
51,Charlie,32,80000.0,HR,2018-08-03,1
52,Alice,37,80000.0,Finance,2019-01-05,1
53,David,23,80000.0,HR,2021-01-20,0
54,Bob,37,1000000.0,Marketing,2015-12-01,1
55,Hannah,45,60000.0,HR,2021-09-27,0
56,David,23,50000.0,Engineering,2019-05-03,1
57,Bob,23,80000.0,HR,2016-08-12,0
58,Frank,23,70000.0,HR,2022-04-24,1
59,Frank,25,80000.0,Marketing,2018-09-28,1
